country,year,service_value
İspaniya,2012,90.1
İspaniya,2013,113.5
İspaniya,2014,129.9
İspaniya,2015,189.5
İspaniya,2016,674.9
İspaniya,2017,1595.1
İspaniya,2018,867.0
İspaniya,2019,961.8
İspaniya,2020,150.3
İspaniya,2021,367.4
İspaniya,2022,682.4
İspaniya,2023,1071.6
İspaniya,2024,2125.2
Israil,2012,339.3
Israil,2013,437.7
Israil,2014,249.6
Israil,2015,287.8
Israil,2016,1624.9
Israil,2017,2210.9
Israil,2018,6521.0
Israil,2019,14259.8
Israil,2020,1548.1
Israil,2021,1825.8
Israil,2022,4967.6
Israil,2023,6699.9
Israil,2024,7095.3
İsveç,2012,208.1
İsveç,2013,298.0
İsveç,2014,75.8
İsveç,2015,63.1
İsveç,2016,382.3
İsveç,2017,573.3
İsveç,2018,326.2
İsveç,2019,437.2
İsveç,2020,56.1
İsveç,2021,106.2
İsveç,2022,187.3
İsveç,2023,325.1
İsveç,2024,752.4
İtaliya,2012,375.3
İtaliya,2013,606.3
İtaliya,2014,349.3
İtaliya,2015,600.5
İtaliya,2016,2278.8
İtaliya,2017,2921.4
İtaliya,2018,2249.1
İtaliya,2019,3682.8
İtaliya,2020,809.6
İtaliya,2021,1513.5
İtaliya,2022,2221.3
İtaliya,2023,3381.8
İtaliya,2024,4892.1
Kanada,2012,107.2
Kanada,2013,124.4
Kanada,2014,100.0
Kanada,2015,544.0
Kanada,2016,739.2
Kanada,2017,821.0
Kanada,2018,1600.6
Kanada,2019,1245.6
Kanada,2020,117.7
Kanada,2021,185.9
Kanada,2022,460.0
Kanada,2023,753.6
Kanada,2024,1778.4
Koreya Respublikası,2017,456.9
Koreya Respublikası,2018,1092.1
Koreya Respublikası,2019,930.9
Koreya Respublikası,2020,96.3
Koreya Respublikası,2021,81.0
Koreya Respublikası,2022,364.4
Koreya Respublikası,2023,752.6
Koreya Respublikası,2024,997.2
Küveyt,2018,6654.7
Küveyt,2019,7165.8
Küveyt,2020,1268.4
Küveyt,2021,403.0
Küveyt,2022,4874.9
Küveyt,2023,6618.9
Küveyt,2024,7620.1
Qazaxıstan,2012,282.4
Qazaxıstan,2013,449.7
Qazaxıstan,2014,280.3
Qazaxıstan,2015,211.5
Qazaxıstan,2016,1681.7
Qazaxıstan,2017,2048.5
Qazaxıstan,2018,3604.0
Qazaxıstan,2019,3456.6
Qazaxıstan,2020,503.7
Qazaxıstan,2021,556.1
Qazaxıstan,2022,2398.2
Qazaxıstan,2023,5302.2
Qazaxıstan,2024,7391.6
Qətər,2018,6576.3
Qətər,2019,6025.5
Qətər,2020,1088.1
Qətər,2021,1198.1
Qətər,2022,2339.9
Qətər,2023,2546.2
Qətər,2024,3726.9
Qırğızıstan,2017,341.5
Qırğızıstan,2018,155.0
Qırğızıstan,2019,249.2
Qırğızıstan,2020,29.0
Qırğızıstan,2021,51.3
Qırğızıstan,2022,103.3
Qırğızıstan,2023,340.2
Qırğızıstan,2024,728.0
Latviya,2017,348.3
Latviya,2018,294.9
Latviya,2019,306.4
Latviya,2020,52.2
Latviya,2021,85.1
Latviya,2022,145.3
Latviya,2023,339.9
Latviya,2024,577.0
Litva,2017,268.2
Litva,2018,272.3
Litva,2019,253.2
Litva,2020,29.7
Litva,2021,62.2
Litva,2022,147.3
Litva,2023,414.0
Litva,2024,604.0
Macarıstan,2018,213.1
Macarıstan,2019,349.5
Macarıstan,2020,55.7
Macarıstan,2021,89.8
Macarıstan,2022,211.4
Macarıstan,2023,515.2
Macarıstan,2024,1032.4
Malayziya,2018,284.5
Malayziya,2019,455.7
Malayziya,2020,33.1
Malayziya,2021,154.9
Malayziya,2022,250.7
Malayziya,2023,435.7
Malayziya,2024,580.9
Moldova,2017,1043.5
Moldova,2018,201.3
Moldova,2019,155.7
Moldova,2020,33.1
Moldova,2021,37.6
Moldova,2022,122.0
Moldova,2023,165.6
Moldova,2024,328.6
Niderland,2012,264.6
Niderland,2013,258.7
Niderland,2014,165.0
Niderland,2015,171.7
Niderland,2016,1051.2
Niderland,2017,1398.5
Niderland,2018,749.8
Niderland,2019,896.8
Niderland,2020,285.3
Niderland,2021,535.9
Niderland,2022,855.5
Niderland,2023,1034.5
Niderland,2024,1313.2
Norveç,2012,292.3
Norveç,2013,256.9
Norveç,2014,210.0
Norveç,2015,95.8
Norveç,2016,709.8
Norveç,2017,1355.4
Norveç,2018,751.9
Norveç,2019,2669.2
Norveç,2020,289.0
Norveç,2021,429.1
Norveç,2022,634.9
Norveç,2023,641.9
Norveç,2024,837.4
Oman,2018,1774.5
Oman,2019,1340.8
Oman,2020,174.7
Oman,2021,53.1
Oman,2022,1057.8
Oman,2023,953.0
Oman,2024,1685.9
Özbəkistan,2017,1175.2
Özbəkistan,2018,1408.2
Özbəkistan,2019,1243.7
Özbəkistan,2020,176.8
Özbəkistan,2021,193.8
Özbəkistan,2022,1215.1
Özbəkistan,2023,3029.9
Özbəkistan,2024,4468.8
Pakistan,2012,38.8
Pakistan,2013,44.1
Pakistan,2014,15.6
Pakistan,2015,34.7
Pakistan,2016,639.2
Pakistan,2017,1650.2
Pakistan,2018,4331.1
Pakistan,2019,3774.3
Pakistan,2020,378.5
Pakistan,2021,263.0
Pakistan,2022,2777.1
Pakistan,2023,3371.3
Pakistan,2024,6952.6
Polşa,2012,52.1
Polşa,2013,71.2
Polşa,2014,50.4
Polşa,2015,83.0
Polşa,2016,535.1
Polşa,2017,772.1
Polşa,2018,487.5
Polşa,2019,732.6
Polşa,2020,121.7
Polşa,2021,270.2
Polşa,2022,466.7
Polşa,2023,1028.6
Polşa,2024,1228.4
Rumıniya,2012,34.1
Rumıniya,2013,55.2
Rumıniya,2014,34.2
Rumıniya,2015,41.1
Rumıniya,2016,416.7
Rumıniya,2017,341.8
Rumıniya,2018,244.3
Rumıniya,2019,483.8
Rumıniya,2020,115.4
Rumıniya,2021,115.2
Rumıniya,2022,194.8
Rumıniya,2023,524.1
Rumıniya,2024,759.5
Rusiya  Federasiyası,2012,1521.9
Rusiya  Federasiyası,2013,2839.6
Rusiya  Federasiyası,2014,1535.5
Rusiya  Federasiyası,2015,1860.3
Rusiya  Federasiyası,2016,16211.3
Rusiya  Federasiyası,2017,22462.6
Rusiya  Federasiyası,2018,24792.6
Rusiya  Federasiyası,2019,28889.1
Rusiya  Federasiyası,2020,5252.2
Rusiya  Federasiyası,2021,5416.2
Rusiya  Federasiyası,2022,19915.2
Rusiya  Federasiyası,2023,32042.5
Rusiya  Federasiyası,2024,42448.2
Səudiyyə Ərəbistanı,2018,15698.3
Səudiyyə Ərəbistanı,2019,26284.3
Səudiyyə Ərəbistanı,2020,2522.4
Səudiyyə Ərəbistanı,2021,1141.9
Səudiyyə Ərəbistanı,2022,19189.2
Səudiyyə Ərəbistanı,2023,16118.2
Səudiyyə Ərəbistanı,2024,23163.2
Tacikistan,2017,161.4
Tacikistan,2018,209.6
Tacikistan,2019,106.7
Tacikistan,2020,10.4
Tacikistan,2021,14.5
Tacikistan,2022,89.4
Tacikistan,2023,309.3
Tacikistan,2024,508.8
Türkiyə,2012,1172.5
Türkiyə,2013,1974.8
Türkiyə,2014,1437.7
Türkiyə,2015,2257.4
Türkiyə,2016,10057.6
Türkiyə,2017,10786.2
Türkiyə,2018,8117.1
Türkiyə,2019,12214.0
Türkiyə,2020,3282.8
Türkiyə,2021,7928.9
Türkiyə,2022,12146.3
Türkiyə,2023,16792.8
Türkiyə,2024,24802.9
Türkmənistan,2017,478.8
Türkmənistan,2018,148.3
Türkmənistan,2019,347.5
Türkmənistan,2020,47.3
Türkmənistan,2021,34.6
Türkmənistan,2022,100.6
Türkmənistan,2023,231.5
Türkmənistan,2024,265.4
Ukrayna,2012,272.3
Ukrayna,2013,499.1
Ukrayna,2014,298.2
Ukrayna,2015,355.3
Ukrayna,2016,3510.5
Ukrayna,2017,3207.5
Ukrayna,2018,2371.7
Ukrayna,2019,2898.1
Ukrayna,2020,505.1
Ukrayna,2021,687.5
Ukrayna,2022,902.4
Ukrayna,2023,1770.7
Ukrayna,2024,1913.1
Yaponiya,2012,110.5
Yaponiya,2013,113.8
Yaponiya,2014,79.9
Yaponiya,2015,118.8
Yaponiya,2016,308.2
Yaponiya,2017,497.1
Yaponiya,2018,697.8
Yaponiya,2019,710.3
Yaponiya,2020,73.2
Yaponiya,2021,173.3
Yaponiya,2022,295.3
Yaponiya,2023,435.1
Yaponiya,2024,1082.0
Digər ölkələr,2012,7179.5
Digər ölkələr,2013,11074.999999999996
Digər ölkələr,2014,12410.7
Digər ölkələr,2015,10092.500000000002
Digər ölkələr,2016,41396.30000000002
Digər ölkələr,2017,52586.80000000002
Digər ölkələr,2018,37101.99999999997
Digər ölkələr,2019,41203.80000000002
Digər ölkələr,2020,4758.799999999996
Digər ölkələr,2021,7437.799999999996
Digər ölkələr,2022,17439.09999999999
Digər ölkələr,2023,27500.4
Digər ölkələr,2024,48590.6
